threshold_d,baseline,rcp26,rcp45,rcp60,rcp85
90,0.04904929151023374,0.09192607003891051,0.09635680208182738,0.09153630712480361,0.10102685120224504
120,0.028036817245973112,0.047387437465258475,0.04568454532311696,0.04317234783796708,0.03590790228968684
150,0.01398813128254814,0.019316286826014453,0.017203990169148475,0.017214290593619782,0.010140952866892022
180,0.005934358725929514,0.007990550305725402,0.008385138065635392,0.006899378372839675,0.0038905542445309012
210,0.0024221872350732713,0.004168982768204558,0.003614283648980772,0.0037570872327344763,0.0020409464889342434
270,0.0010294295749061402,0.0023624235686492494,0.0014457134595923088,0.0015028348930937905,0.0001913387333375853
360,0.0009083202131524767,0.0016675931072818232,0.0012288564406534625,0.0008880388004645126,0.00012755915555839021
