regime,population,n,uz_share,lz_share
slow (> 90 d),all candidates,222890,0.20839503489251476,0.7916049651074852
slow (> 90 d),retained (C >= 0.60),8820,0.005442176870748299,0.9945578231292517
slow (> 90 d),rejected,214070,0.2168385998179254,0.7831614001820746
abrupt (<= 90 d),all candidates,422394,0.5626907563874077,0.43730924361259227
abrupt (<= 90 d),retained (C >= 0.60),115780,0.6817066850924166,0.31829331490758334
abrupt (<= 90 d),rejected,306614,0.5167583891946307,0.48324161080536937
