gauge_id,baseline_p_annual,future_p_annual,d_p_annual,baseline_pet_annual,future_pet_annual,d_pet_annual,baseline_aridity,future_aridity,d_aridity,baseline_p_summer,future_p_summer,d_p_summer,baseline_pet_summer,future_pet_summer,d_pet_summer,baseline_aridity_summer,future_aridity_summer,d_aridity_summer,baseline_seasonality,future_seasonality,d_seasonality,baseline_tas_mean,future_tas_mean,d_tas_mean
1001,985.6596189655168,948.2220749999985,-37.437543965518216,470.1769568965516,554.0826916666668,83.90573477011526,0.4759333801397425,0.5745884567048276,0.0986550765650851,202.14386206896563,189.12406333333342,-13.019798735632207,198.88619310344836,238.84842500000013,39.96223189655177,0.9812615093362087,1.251803845746654,0.27054233641044534,0.34673035603195845,0.3878122267279712,0.04108187069601277,7.82282910440615,10.570478888888898,2.747649784482748
2001,1124.5417137931004,1056.8119916666699,-67.72972212643049,456.8364793103447,543.3039683333316,86.46748902298685,0.4049885856880782,0.5026638271333401,0.0976752414452619,209.44820344827593,181.42036999999993,-28.027833448276,195.31768275862055,237.24176833333337,41.92408557471282,0.9290326370156624,1.2990590768454946,0.3700264398298322,0.4839905172541369,0.6080388408127397,0.12404832355860285,7.123606273946365,9.9897965,2.866190226053636
2002,1250.818549999999,1174.5684150000002,-76.25013499999886,458.7486155172415,548.3615533333332,89.61293781609169,0.36560608501187186,0.4558367566085093,0.09023067159663745,232.9846327586211,197.5047650000001,-35.479867758621,195.631925862069,240.3249099999999,44.69298413793089,0.8367897378595046,1.2088397555459196,0.372050017686415,0.50270397542199,0.6294722742087995,0.1267682987868095,6.900602859195441,9.768409671296276,2.8678068121008344
3003,1998.1106241379293,2006.2685383333337,8.157914195404373,451.3093465517242,527.7162666666673,76.40692011494303,0.22595611649729397,0.2557832627766257,0.02982714627933175,330.946060344828,301.4699466666667,-29.476113678161312,191.31695344827597,228.79780999999988,37.48085655172392,0.5755909313144967,0.7542924453652011,0.17870151405070445,0.6728928285574245,0.7121590157333623,0.03926618717593777,6.843676015325666,9.673346282407428,2.8296702670817613
4001,1894.4324724137937,1893.2916416666674,-1.1408307471263015,443.00662413793054,523.448086666668,80.44146252873747,0.23404521905022013,0.27027812261267803,0.0362329035624579,283.255527586207,241.074321666667,-42.18120591953999,191.19968275862072,233.54639666666668,42.346713908045956,0.6727900183882436,0.9658606736098891,0.29307065522164555,0.8296300035001629,0.9249406598059814,0.09531065630581848,6.412724166666694,9.299120967592561,2.8863968009258674
4003,1474.0121913793123,1401.0439499999968,-72.96824137931549,448.6875879310336,539.3043033333336,90.61671540229997,0.30439927639948894,0.37741413300284526,0.07301485660335633,244.11700862068955,208.8908033333336,-35.22620528735595,193.62337758620674,239.7213816666665,46.09800408045976,0.7912548796020782,1.1392992352638807,0.3480443556618025,0.6750187944988602,0.8154877271152666,0.14046893261640647,6.196581518199254,9.099428523148138,2.9028470049488835
4005,2299.263200000007,2347.861419999991,48.59821999998394,435.1826017241374,513.3489150000012,78.16631327586379,0.18998380474054172,0.21361554332588628,0.023631738585344564,324.1556189655172,278.1460783333338,-46.009540632183416,188.09437758620675,229.5046083333332,41.41023074712646,0.5783820130348731,0.8221616815636867,0.2437796685288136,0.8960928967160471,0.9866117437619778,0.09051884704593072,5.946177332375457,8.822316129629643,2.8761387972541854
4006,2350.064770689658,2427.302200000003,77.23742931034485,441.9266827586206,516.0685283333338,74.14184557471322,0.18926648857763553,0.20734722394117958,0.018080735363544043,347.403868965517,305.41497500000025,-41.98889396551675,190.88464482758593,229.76324499999998,38.87860017241405,0.5468592992849608,0.748357612684446,0.2014983133994852,0.847078433597077,0.9198386282155866,0.07276019461850958,6.635664391762447,9.495778597222213,2.860114205459766
5003,2407.0041793103355,2511.127639999999,104.12346068966326,435.3857517241385,515.5709500000014,80.18519827586289,0.18118582911603465,0.20071720585089664,0.019531376734861994,336.3730655172419,285.1572083333334,-51.2158571839085,188.86932758620696,231.8978183333333,43.02849074712634,0.5601226344615746,0.8119440530554451,0.2518214185938705,0.9065082920932854,1.0237715791564506,0.11726328706316513,5.778302337164756,8.670626509259211,2.8923241720944555
6007,1971.7056965517263,2034.8648166666653,63.159120114939014,448.4752896551737,533.6591716666669,85.18388201149321,0.2274586746649444,0.2563965933596381,0.0289379186946937,302.8362465517249,256.43299,-46.403256551724894,196.24633965517233,243.1794633333334,46.93312367816105,0.6461549363599042,0.9419585268645176,0.29580359050461347,0.8229994961252616,0.9582410320823164,0.1352415359570548,6.51085210727971,9.413010037037065,2.9021579297573545
6008,1423.3097051724112,1402.8930866666628,-20.416618505748374,458.0665689655185,551.6293833333332,93.56281436781467,0.32183335344008807,0.3848123909297526,0.06297903748966455,221.96591551724157,186.0483900000001,-35.91752551724147,197.9614637931037,248.95496999999975,50.99350620689606,0.8905601694978973,1.3277056695263352,0.4371455000284379,0.8086720074067884,0.9714097856767467,0.1627377782699584,6.633874257662832,9.524922046296274,2.8910477886334416
7001,1281.4548534482728,1219.3749133333326,-62.0799401149402,445.4981586206908,540.8467666666687,95.34860804597793,0.34788528289960996,0.4347362990154281,0.08685101611581814,253.74439999999979,218.8768733333333,-34.86752666666649,195.39570000000003,244.3000033333335,48.90430333333347,0.7688966881791743,1.1098065028382251,0.3409098146590508,0.4689877066910416,0.6099564257239145,0.1409687190328729,5.307988050766291,8.299629814814828,2.9916417640485378
7002,1120.8268586206934,1057.2946299999985,-63.53222862069492,456.1508672413784,555.0443383333343,98.89347109195586,0.40704907261418566,0.5145653164027312,0.10751624378854552,247.40476206896548,216.67455333333334,-30.730208735632146,199.9942672413796,249.7584216666669,49.7641544252873,0.8071286900634658,1.1446357360389485,0.33750704597548276,0.2733686030504052,0.3799876005269608,0.10661899747655557,5.962371537356304,8.933485097222233,2.9711135598659286
7003,885.7296517241359,823.2903783333325,-62.439273390803464,486.6842448275862,593.0271133333349,106.3428685057487,0.5494735337040604,0.7082452253980384,0.15877169169397798,236.8305655172411,211.94258333333352,-24.88798218390758,209.8492068965515,260.83400166666706,50.98479477011557,0.8860111293242391,1.2218675135604238,0.3358563842361847,-0.14171828578045928,-0.08270583682867619,0.05901244895178309,7.36714409003833,10.269905962962977,2.9027618729246463
7005,906.2644551724132,840.9869400000005,-65.27751517241279,471.4527603448279,576.2742816666669,104.82152132183899,0.5202220326226548,0.6716238960871193,0.1514018634644645,236.27588620689664,210.01747166666672,-26.25841454022992,205.35156034482762,256.1795966666667,50.82803632183911,0.8680357910901215,1.2106478988724367,0.3426121077823152,-0.07873883386752606,0.00032299846845100337,0.07906183233597706,6.66413357279691,9.622167685185184,2.9580341123882743
7006,1019.3426224137927,946.1458799999962,-73.19674241379653,475.2159568965514,583.2776766666668,108.06171977011542,0.4661998232518764,0.6048496831319395,0.13864985988006312,263.11980172413826,232.77834833333358,-30.341453390804674,204.2912672413794,255.18584333333376,50.89457609195438,0.7764492826506644,1.0886371817169982,0.3121878990663338,-0.0776549475477114,-0.0034341849306867437,0.07422076261702466,6.461297926245214,9.41363951851854,2.952341592273326
8004,1133.644722413794,1047.2466533333275,-86.39806908046648,449.4182137931025,550.0739850000007,100.65577120689818,0.39643929095546604,0.517382075981949,0.12094278502648292,260.43744137931026,231.7433633333334,-28.694078045976852,199.749272413793,250.08319333333304,50.33392091954005,0.7663662947498854,1.0789797545355442,0.3126134597856588,0.15444078357267338,0.2836686649186212,0.12922788134594781,5.480971695402295,8.554495379629635,3.0735236842273403
8005,1392.9107258620704,1355.7059649999965,-37.204760862073954,440.4045465517233,532.0686050000006,91.66405844827733,0.3164779693349697,0.38589171212254725,0.06941374278757756,248.97537413793162,208.89807833333327,-40.07729580459835,195.89956379310362,245.53836499999954,49.63880120689592,0.7861542376579541,1.1732433822443102,0.3870891445863561,0.6408983960664832,0.8294216627946109,0.1885232667281277,5.586742045019138,8.632724000000007,3.045981954980869
8006,1189.4773568965502,1131.6827166666685,-57.79464022988168,448.5307741379311,544.6082666666656,96.07749252873452,0.3772397858995048,0.473221269985509,0.09598148408600421,244.39662241379312,211.77141,-32.62521241379312,199.5447568965521,249.36886166666687,49.824104770114786,0.8156220021967672,1.174854921492797,0.35923291929602985,0.39686841409765905,0.5453594283123777,0.14849101421471866,5.895649133141762,8.929895388888895,3.0342462557471324
8009,1063.7454258620667,1001.3730583333323,-62.372367528734344,452.2726637931031,549.8848500000015,97.6121862068984,0.42522469389273365,0.5396482614764707,0.11442356758373706,225.40247586206868,196.07617,-29.326305862068693,200.21519827586167,250.57353333333302,50.35833505747135,0.8871931188895612,1.2737140070258415,0.38652088813628027,0.36496165005935577,0.5058850082252337,0.14092335816587798,5.89025177203067,8.891992967592596,3.0017411955619266
8011,1011.1432879310339,921.9390333333331,-89.20425459770081,452.2806810344837,552.7888750000014,100.50819396551776,0.44729880670324174,0.5909293858641403,0.1436305791608986,241.57571551724115,219.68663999999995,-21.889075517241196,201.27733793103445,251.2059816666664,49.92864373563194,0.8326035279591923,1.1431993170453216,0.3105957890861293,0.038653334159948316,0.143884948351898,0.10523161419194968,5.936465771072781,9.004436013888863,3.0679702428160827
8013,1379.6447206896519,1331.8026916666645,-47.84202902298739,434.84885862068876,528.6967000000006,93.84784137931189,0.31555213553630945,0.39050571298586745,0.074953577449558,261.895731034483,217.02780500000034,-44.86792603448265,193.00023793103475,242.99332333333348,49.99308540229873,0.7369353926667706,1.1194544873442238,0.38251909467745326,0.5452774622905949,0.7608016392177148,0.2155241769271199,4.974414176245225,8.059205662037055,3.08479148579183
9002,947.2272172413777,871.9615999999985,-75.26561724137923,482.6916431034474,587.75332,105.06167689655263,0.509583921420147,0.6640925905852415,0.15450866916509454,229.75121034482723,211.04208166666706,-18.70912867816017,210.55002068965518,262.83393500000034,52.28391431034515,0.9165059708913021,1.2412660811902338,0.3247601102989317,-0.020704501139443162,0.057489553444547245,0.07819405458399041,7.0889106704980716,10.06195512037037,2.973044449872299
9003,927.5627275862073,859.5680316666674,-67.99469591953994,487.79639999999955,593.4871050000002,105.6907050000006,0.52589194725815,0.6801983520999081,0.15430640484175806,236.68090689655202,217.34678833333354,-19.33411856321848,211.0381293103452,262.3066499999994,51.268520689654224,0.8915546701528003,1.2020356069488654,0.31048093679606503,-0.09759736275731934,-0.041369291036605305,0.056228071720714035,7.268201695402327,10.21506902777778,2.9468673323754526
9004,983.6667120689647,896.1941200000007,-87.47259206896399,476.99222758620647,583.0015716666667,106.00934408046021,0.4849119921736318,0.6408741819543005,0.15596218978066867,231.30111379310335,213.290441666667,-18.01067212643636,209.5081517241378,262.84843666666643,53.340284942528626,0.9059729599022583,1.2294208987740511,0.3234479388717928,0.009007856218081001,0.1025408106220456,0.0935329544039646,6.785665162835211,9.796691643518537,3.0110264806833262
9005,1070.026101724136,967.528256666666,-102.49784505746993,463.4115741379313,569.6354700000006,106.2238958620693,0.43308437771951935,0.5789025905765344,0.14581821285701502,245.3245827586207,225.10523499999982,-20.21934775862087,203.52297586206896,255.68806833333338,52.165092471264416,0.8298291714161106,1.1348976919350098,0.3050685205188992,0.04841678305314039,0.15164727040606435,0.10323048735292395,5.965572073754787,9.015617199074065,3.0500451253192775
10002,839.2304224137911,804.2397349999966,-34.99068741379449,502.24028103448234,599.2705533333308,97.03027229884844,0.5975340698656955,0.7330192489791718,0.13548517911347635,190.4453689655175,171.96810333333354,-18.477265632183958,215.454196551724,265.1691300000002,49.71493344827621,1.1286424278234781,1.526107761668697,0.397465333845219,0.1105798066217152,0.211310404077407,0.10073059745569181,8.086530871647504,10.91477949999998,2.828248628352476
10003,845.6224879310327,797.2383616666662,-48.3841262643665,503.53145862068953,607.7864166666668,104.25495804597728,0.5954563973323903,0.7517804357703494,0.15632403843795906,201.40494827586218,183.27907666666664,-18.125871609195542,217.33519137931046,271.5895249999999,54.254333620689465,1.0782549972079591,1.4728382129561117,0.3945832157481526,0.030527527282894956,0.13896845999988747,0.10844093271699251,7.959959990421451,10.858237722222231,2.89827773180078
11001,904.3428500000031,831.5117283333309,-72.83112166667217,483.9461827586201,591.3920550000048,107.44587224138468,0.5351352552186013,0.7007606211238153,0.16562536590521404,213.75894827586242,197.4814216666667,-16.277526609195718,212.53890862068957,267.6486983333332,55.10978971264362,0.9944501909971989,1.3518039558591508,0.3573537648619519,0.03239945639850944,0.12740940432900655,0.09500994793049711,7.04958896072797,10.056426398148147,3.0068374374201774
